film_id,nota_modelo,nota_gemini,evaluada,nota_lineal
the-testament-of-ann-lee,8.762814752856029,8.6,True,9.03151000462586
disobedience,8.744930846717052,8.5,True,8.714033895514223
killers-of-the-flower-moon,8.698247589373473,9.5,True,8.768438067511877
hal-harper,8.695380096832913,8.8,True,8.862766167725347
the-power-of-the-dog,8.687424149885214,8.5,True,8.34963155678457
the-fallout,8.6633285328628,8.8,True,9.267111715618803
aguirre-the-wrath-of-god,8.64086997390566,8.5,True,8.667036346570113
before-midnight,8.607458108105286,,False,8.949784053176609
dawn-of-the-dead,8.600639143736718,,False,9.194536571728097
nosferatu,8.585928380431007,,False,9.140372674455236
before-sunrise,8.58236256758012,,False,8.38920183260362
hamnet,8.581011196546681,,False,9.054767383796282
twin-peaks,8.556475395988699,,False,9.314720946292544
a-beautiful-day-in-the-neighborhood,8.542454362648055,8.8,True,7.943190004937487
inside-llewyn-davis,8.510571426918329,,False,8.0372323327552
winter-sleep,8.503774481802829,9.2,True,9.293114926191228
eternal-sunshine-of-the-spotless-mind,8.489152300741372,,False,8.694393778684919
the-worst-person-in-the-world,8.477007508527928,8.8,True,9.235539975043581
once-upon-a-time-in-hollywood,8.476902434650333,8.5,True,7.610789672758765
crouching-tiger-hidden-dragon,8.469899387147372,9.5,True,8.122103823524617
the-celebration,8.468307532134965,8.5,True,8.230657681738599
sorry-baby,8.467012644353996,,False,7.745124139106045
daisies,8.435764251563489,8.8,True,8.65187998362386
let-the-right-one-in,8.43029964035675,,False,8.616229137620477
monos,8.408687768380656,8.0,True,8.96817175853264
the-secret-agent,8.39217566086892,,False,8.641224180952486
blue-is-the-warmest-color,8.386658656364576,8.0,True,7.435865358021509
coraline,8.38032841367871,8.8,True,7.911061005214897
another-round,8.376615604349917,,False,8.082813761906195
flcl,8.35158918052349,,False,6.243581579250144
suspiria,8.330935492210237,,False,8.491813899439295
the-royal-tenenbaums,8.325814049768038,6.8,True,7.961207319828921
rocky,8.295806203722993,9.2,True,9.50061075550743
the-assassination-of-jesse-james-by-the-coward-robert-ford,8.283734158887915,8.5,True,8.237465877932058
phantom-thread,8.268629271966534,,False,8.07933961837728
wristcutters-a-love-story,8.241800485527206,,False,9.261451794749563
mad-max-fury-road,8.214155283945663,8.5,True,8.138344153787822
the-shining,8.210417280139334,,False,8.129780028078324
requiem-for-a-dream,8.207846105375483,,False,9.045418162348296
it-was-just-an-accident,8.193806842437711,,False,8.763759616994166
spencer,8.166108390198472,,False,8.375344832431988
parasite,8.164776939217031,,False,8.527549495453535
halloween,8.164127720447002,,False,7.492305457880539
the-lighthouse,8.103365173583915,,False,8.622845521680697
alien,8.088030826195164,,False,7.693167875890751
bojack-horseman-christmas-special-sabrinas,8.056372269181884,,False,8.066415460420675
psycho,8.051424979504505,8.0,True,7.421647675606215
a-clockwork-orange,8.038251458869123,,False,8.006903313382523
poor-things,8.032685555554535,8.0,True,8.15709381860042
barry-lyndon,8.023988340687817,6.5,True,8.096376345856635
the-witch,8.010564998913127,,False,8.355030638050742
climax,7.977363829576699,,False,7.351649856460806
cha-cha-real-smooth,7.975118284906221,8.5,True,7.378856045252978
pride-prejudice,7.958454443250861,,False,7.109957296775701
sinners,7.948387375030869,7.5,True,8.13892664906883
500-days-of-summer,7.945663433715641,,False,7.076204242484102
pulp-fiction,7.940852466108337,,False,8.157280529017001
ema,7.938718784693836,8.0,True,7.617419464227229
the-handmaiden,7.843515285684478,,False,7.516847845651162
jurassic-park,7.829702260915334,7.5,True,7.283282731605196
shaun-of-the-dead,7.809521928836582,,False,10.158459150386705
but-im-a-cheerleader,7.764212521789682,,False,8.455849687313249
primer,7.726523518745204,6.5,True,7.610226898491337
oldboy,7.643476158858133,7.5,True,8.028126050725707
amelie,7.641124517727042,4.5,True,8.408157803067413
one-battle-after-another,7.451377538119212,,False,9.366928162641171
la-la-land,7.447358225953973,5.5,True,7.256615296823511
triangle-of-sadness,7.361607998924586,7.0,True,7.989968022375608
fantastic-mr-fox,7.340808882338219,,False,6.822997958479814
scott-pilgrim-vs-the-world,7.3297661606822695,,False,7.786825560408817
emma,7.2352556974388476,6.5,True,6.9792608431192455
the-nightmare-before-christmas,7.16512269714585,,False,6.972285041243492
weapons,7.088067857079103,,False,7.722039385463948
manhattan,6.888724135998904,5.0,True,7.421889919882064
beauty-and-the-beast,6.745014437159291,6.0,True,7.486067073567936
marty-supreme,6.513931437165688,5.5,True,6.8133384815487394
